ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
16602,12.0,USERA,"CALL. NICOLAS SANCHEZ, 38",,,38,
16603,4.0,SALAMANCA,"CALL. HERMOSILLA, 97",,,97,
16604,13.0,PUENTE DE VALLECAS,"AVDA. DEMOCRACIA, 17",,,17,
16605,5.0,CHAMARTÍN,"AVDA. ALBERTO ALCOCER, 37",,,37,
16606,2.0,ARGANZUELA,"PASEO. CHOPERA, 6",,,6,
16607,18.0,VILLA DE VALLECAS,AVDA. MAYORAZGO / CALL. PERALES DEL RIO,,,16,
16608,10.0,LATINA,CALL. LOS YEBENES / CALL. LOS YEBENES,,,76,
16609,11.0,CARABANCHEL,AVDA. POBLADOS / CALL. CERILLERAS,,,116,
16610,7.0,CHAMBERÍ,CALL. GUZMAN EL BUENO / CALL. CEA BERMUDEZ,,,1,
16611,20.0,SAN BLAS-CANILLEJAS,CALL. ALBASANZ / CALL. RUFINO GONZALEZ,,,38,
16612,14.0,MORATALAZ,AVDA. DOCTOR GARCIA TAPIA / CALL. FUENTE CARRANTONA,,,155,
16613,9.0,MONCLOA-ARAVACA,CTRA. CASTILLA / AUTOV. M-30,,,+00100S,
16614,13.0,PUENTE DE VALLECAS,CALL. HERMANOS TRUEBA / CALL. JAVIER DE MIGUEL,,,25,
16615,15.0,CIUDAD LINEAL,"AUTOV. M-30, CALZADA  INTERIOR CENTRAL P.K. 07,200",,,07NC20,
16616,13.0,PUENTE DE VALLECAS,"CALL. DOLORES FOLGUERAS, 34",,,34,
16617,6.0,TETUÁN,"CALL. SAN GERMAN, 8",,,8,
16618,2.0,ARGANZUELA,PASEO. SANTA MARIA DE LA CABEZA / CALL. CANARIAS,,,52,
16619,6.0,TETUÁN,"CALL. CAPITAN BLANCO ARGIBAY, 210",,,210,
16620,6.0,TETUÁN,CALL. SAN GERMAN / CALL. TERESITA GONZALEZ QUEVEDO,,,40,
16621,6.0,TETUÁN,CALL. BRAVO MURILLO / CALL. BALSAMINAS,,,298,
16622,2.0,ARGANZUELA,"GTA. SANTA MARIA DE LA CABEZA, 6",,,6,
16623,2.0,ARGANZUELA,AUTOV. M-30 / CALL. MENDEZ ALVARO,,,10NL94,
16624,15.0,CIUDAD LINEAL,"CALL. ARTURO SORIA, 168",,,168,
16625,5.0,CHAMARTÍN,"CALL. LOPEZ DE HOYOS, 74",,,74,
16626,8.0,FUENCARRAL-EL PARDO,AUTOV. M-30 PK 29.400 CALZADA INTERIOR CENTRAL,,,29NC40,
16627,4.0,SALAMANCA,AUTOV. M-30 PK 6.600 CALZDA INTERIOR LATERAL,,,06NL60,
16628,6.0,TETUÁN,"CALL. BRAVO MURILLO, 109",,,109,
16629,10.0,LATINA,PASEO. EXTREMADURA / CALL. FRANCISCO BRIZUELA,,,154,
16630,8.0,FUENCARRAL-EL PARDO,"AVDA. VENTISQUERO DE LA CONDESA, 46",,,46,
16631,5.0,CHAMARTÍN,CALL. CLARA DEL REY / CALL. CANILLAS,,,36,
16632,6.0,TETUÁN,GTA. CUATRO CAMINOS / CALL. BRAVO MURILLO,,,2,
16633,5.0,CHAMARTÍN,AUTOV. M-30 / AVDA. RAMON Y CAJAL,,,03NL46,
16634,9.0,MONCLOA-ARAVACA,CALL. ANTONIO MACHADO FAROLA 8,,,2,
16635,1.0,CENTRO,CALL. GRAN VIA / CALL. VALVERDE,,,30,
16636,8.0,FUENCARRAL-EL PARDO,32RK20,,,32RK20,
16637,15.0,CIUDAD LINEAL,CALL. ARTURO SORIA / CALL. LOPEZ DE HOYOS,,,204,
16638,5.0,CHAMARTÍN,AVDA. CONCHA ESPINA / CALL. TURIA,,,26,
16639,15.0,CIUDAD LINEAL,"CALL. ACHURI, 34",,,34,
16640,11.0,CARABANCHEL,"CALL. ANTONIO LOPEZ, 26",,,26,
16641,6.0,TETUÁN,PASEO. CASTELLANA / CALL. SINESIO DELGADO,,,255,
16642,1.0,CENTRO,"CALL. ALMIRANTE, 25",,,25,
16643,15.0,CIUDAD LINEAL,"AVDA. DAROCA, 33",,,33,
16644,19.0,VICÁLVARO,CALL. RIVAS / frente farola 25,,,11,
16645,7.0,CHAMBERÍ,"CALL. ISAAC PERAL, 4",,,4,
16646,11.0,CARABANCHEL,AVDA. EURO / CALL. MARAVEDI,,,29,
16647,20.0,SAN BLAS-CANILLEJAS,CALL. POBLADURA DEL VALLE / CALL. AMPOSTA,,,13,
16648,4.0,SALAMANCA,CALL. JUAN BRAVO Nº69 / CALL. ALCANTARA,,,69,
16649,17.0,VILLAVERDE,CALL. FELIPE PINGARRON / CALL. HUERTA DE VILLAVERDE,,,3,
16650,11.0,CARABANCHEL,CALL. ALISEDA / PLAZA. NAVARROS,,,34,
16651,5.0,CHAMARTÍN,CALL. SERRANO / AVDA. CONCHA ESPINA,,,197,
16652,9.0,MONCLOA-ARAVACA,"PASEO. JUAN XXIII, 27",,,27,
16653,15.0,CIUDAD LINEAL,CALL. ARTURO SORIA / CALL. CALERUEGA,,,303,
16654,13.0,PUENTE DE VALLECAS,"AVDA. DEMOCRACIA, 21",,,21,
16655,21.0,BARAJAS,"CALL. CORBETA, 4",,,4,
16656,9.0,MONCLOA-ARAVACA,"CALL. SIERRA DE PAJAREJO, 5A",,,5A,
16657,11.0,CARABANCHEL,CALL. MARIA ODIAGA / CALL. PIEDRAHITA,,,38,
16658,14.0,MORATALAZ,"AUTOV. M-30, 08XL25",,,08XL25,
16659,2.0,ARGANZUELA,"AUTOV. M-30, CALZADA INTERIOR PK 11",,,11NL00,
16660,2.0,ARGANZUELA,AUTOV. M-30 PK.11 CALZADA INTERIOR LATERAL,,,11NL00,
16661,8.0,FUENCARRAL-EL PARDO,AVDA. CAMINO DE SANTIAGO / CALL. VILORIA DE LA RIOJA,,,40,
16662,4.0,SALAMANCA,CALL. ROBERTO DOMINGO / AVDA. DONOSTIARRA,,,3,
16663,10.0,LATINA,AUTOV. A-5 / AVDA. AVIACION,,,+01100S,
16664,2.0,ARGANZUELA,"PNTE. PRAGA, 0",,,0,
16665,9.0,MONCLOA-ARAVACA,"PASEO. JUAN XXIII, 15",,,15,
16666,7.0,CHAMBERÍ,"CALL. SANTA ENGRACIA, 128",,,128,
16667,7.0,CHAMBERÍ,CALL. AGUSTIN DE BETANCOURT / CALL. MARIA DE GUZMAN,,,11,
16668,3.0,RETIRO,"AVDA. CIUDAD DE BARCELONA, 81B",,,81B,
16669,13.0,PUENTE DE VALLECAS,"CALL. ARROYO DEL OLIVAR, 6",,,6,
16670,4.0,SALAMANCA,"CALL. PRINCIPE DE VERGARA, 15A",,,15A,
16671,17.0,VILLAVERDE,CALL. VILLALONSO / AVDA. REAL DE PINTO,,,1,
16672,14.0,MORATALAZ,"AUTOV. M-30, 08XL60 M-30 C-2 LATERAL PK 8.600",,,08XL60,
16673,13.0,PUENTE DE VALLECAS,CALL. FUENGIROLA / CALL. BENAMARGOSA,,,23,
16674,4.0,SALAMANCA,AUTOV. M-30 / AUTOV. M-23,,,07NL50,
16675,11.0,CARABANCHEL,"CALL. ANTONIA RODRIGUEZ SACRISTAN, 9",,,9,
16676,10.0,LATINA,"CALL. CUART DE POBLET, 107",,,107,
16677,15.0,CIUDAD LINEAL,"AUTOV. M-30, 07NC10;PK 7,200 CALZADA 1 CENTRAL",,,07NC10,
16678,10.0,LATINA,CALL. SEPULVEDA / CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,,,216,
16679,3.0,RETIRO,"CALL. O'DONNELL, 44",,,44,
16680,2.0,ARGANZUELA,PASEO. BAJO DE LA VIRGEN DEL PUERTO / CALL. SEGOVIA,,,3,
16681,15.0,CIUDAD LINEAL,"AUTOV. M-30, 00CT08",,,00CT08,
16682,5.0,CHAMARTÍN,"AUTOV. M-30 / calzada 1 km 1,6",,,01CC16,
16683,5.0,CHAMARTÍN,"AUTOV. M-30, 02NC95",,,02NC95,
16684,6.0,TETUÁN,"CALL. HERMANO GARATE, 13",,,13,
16685,8.0,FUENCARRAL-EL PARDO,"AVDA. CARDENAL HERRERA ORIA, 427 DIRECCIÓN CTRA. EL PARDO",,,427,
16686,10.0,LATINA,AVDA. LAS AGUILAS / CALL. ALDEANUEVA DE LA VERA,,,99,
16687,2.0,ARGANZUELA,PASEO. ACACIAS / PASEO. OLMOS,,,32,
16688,8.0,FUENCARRAL-EL PARDO,PASEO. CASTELLANA / M 30,,,261,
16689,6.0,TETUÁN,PLAZA. CASTILLA / AVDA. ASTURIAS,,,3,
16690,20.0,SAN BLAS-CANILLEJAS,GTA. ARCENTALES  M-40 SENTIDO NORTE,,,0,
16691,11.0,CARABANCHEL,"AUTOV. M-30, 15RR19",,,15RR19,
16692,4.0,SALAMANCA,CALL. PRINCIPE DE VERGARA / CALL. MARIA DE MOLINA,,,86,
16693,9.0,MONCLOA-ARAVACA,"CALL. GANIMEDES, 11",,,11,
16694,20.0,SAN BLAS-CANILLEJAS,CALL. POBLADURA DEL VALLE / ZONA CARGA Y DESCARGA AHORRAMÁS,,,27,
16695,18.0,VILLA DE VALLECAS,AVDA. ENSANCHE DE VALLECAS / CALL. JOSE GUTIERREZ MAROTO,,,45,
16696,17.0,VILLAVERDE,CALL. BASCUÑUELOS / CALL. SAN MAMES,,,1,
