route_key,linea_id,linea_nombre
257,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
258,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
259,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
260,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
261,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
262,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
263,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
264,159,Madrid (Plaza de Castilla) - Alcobendas (Arroyo de la Vega)
265,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
266,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
267,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
268,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
269,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
270,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
271,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
272,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
273,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
274,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
275,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
276,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
277,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
278,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
279,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
280,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
281,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
282,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
283,161,Madrid (Plaza de Castilla) - Urb. Fuente del Fresno
284,166,San Sebastián de los Reyes - Urbanización Valdelagua
285,166,San Sebastián de los Reyes - Urbanización Valdelagua
286,166,San Sebastián de los Reyes - Urbanización Valdelagua
287,166,San Sebastián de los Reyes - Urbanización Valdelagua
288,166,San Sebastián de los Reyes - Urbanización Valdelagua
289,166,San Sebastián de los Reyes - Urbanización Valdelagua
290,166,San Sebastián de los Reyes - Urbanización Valdelagua
291,166,San Sebastián de los Reyes - Urbanización Valdelagua
292,166,San Sebastián de los Reyes - Urbanización Valdelagua
293,166,San Sebastián de los Reyes - Urbanización Valdelagua
294,166,San Sebastián de los Reyes - Urbanización Valdelagua
295,166,San Sebastián de los Reyes - Urbanización Valdelagua
296,166,San Sebastián de los Reyes - Urbanización Valdelagua
297,166,San Sebastián de los Reyes - Urbanización Valdelagua
298,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
299,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
